Timestamp,Age,Sex,Marital_Status,Region,Education_Level,Income,Role,Experience_Years,Knw_AI_Definition,Knw_AI_Learning,Knw_AI_Assist,Knw_AI_Diagnosis,Knw_AI_Treatment,Knw_AI_Usage,Knw_AI_Limitations,Knw_AI_Ethics,Att_Solve_Problems,Att_Accessibility,Att_Workload,Att_Replace_Doctors,Att_Benefits_Risks,Att_Learn_AI,Att_Regulation,Att_Research_Need,Prac_Use_Validated,Prac_Confidence,Prac_Verify_Output,Prac_Trust_Recommend,Prac_Keep_Updated
2024-03-31 10:52:36,32,Female,Single,Addis Ababa,Bachelor,10000,Medical Doctor,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Always
2024-03-31 11:18:57,26,Male,Single,Addis Ababa,Bachelor,200,Medical Doctor,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-03-31 11:30:48,30,Male,Married,Gambella,Bachelor,8018,Public Health,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-03-31 12:09:09,26,Male,Single,South Ethiopia,Masters/Postgrad,8000,Public Health,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-03-31 12:12:13,24,Female,Single,Amhara,Masters/Postgrad,9000,Data/It/Stats,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Never,Never,Always
2024-03-31 13:03:30,31,Male,Married,Oromia,Masters/Postgrad,12579,Academic/Lecturer,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-03-31 13:30:46,34,Male,Divorced,Addis Ababa,Masters/Postgrad,150000,Other,5,Not Sure,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Never,Always
2024-03-31 14:02:42,28,Male,Single,Harari,Bachelor,20000,Medical Doctor,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Always,Always,Never,Never
2024-03-31 14:35:06,32,Male,Married,Amhara,Masters/Postgrad,11000,Academic/Lecturer,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Never,Never,Never,Never,Always
2024-03-31 14:35:08,29,Male,Single,Addis Ababa,Masters/Postgrad,200,Medical Doctor,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Never,Never,Never,Never,Never
2024-03-31 15:34:45,32,Male,Married,Oromia,Masters/Postgrad,12000,Medical Doctor,6,Not Sure,Not Sure,TRUE,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Always,Always,Always,Always,Always
2024-03-31 19:27:37,28,Male,Single,Harari,Masters/Postgrad,7071,Public Health,2,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,TRUE,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Never,Never,Always,Never,Never
2024-03-31 20:33:51,37,Female,Married,South Ethiopia,Masters/Postgrad,150,Other,10,FALSE,FALSE,TRUE,TRUE,FALSE,Not Sure,TRUE,TRUE,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Never,Never,Always,Always,Always
2024-03-31 21:41:01,28,Male,Single,Addis Ababa,Bachelor,12000,Medical Doctor,2,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,TRUE,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Never,Never,Never,Never,Never
2024-03-31 21:52:29,32,Male,Married,Tigray,Masters/Postgrad,10000,Public Health,10,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,TRUE,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Never,Never,Never,Never,Never
2024-04-01 08:05:03,27,Female,Single,Addis Ababa,Bachelor,9056,Medical Doctor,2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Always,Always,Always,Always,Always
2024-04-01 08:41:53,36,Male,Married,Oromia,Masters/Postgrad,230,Nurse/Midwife,13,TRUE,Not Sure,Not Sure,Not Sure,FALSE,Not Sure,Not Sure,TRUE,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Never,Never,Never,Never,Always
2024-04-01 08:43:20,33,Male,Married,Addis Ababa,Bachelor,8000,Nurse/Midwife,8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Always,Always,Never,Always,Always
2024-04-01 08:47:29,29,Male,Married,Addis Ababa,Bachelor,200,Medical Doctor,4,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,Not Sure,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Never,Always,Never,Always,Never
2024-04-01 08:55:09,31,Male,Married,Oromia,Masters/Postgrad,8000,Nurse/Midwife,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Always,Always,Always,Always
2024-04-01 09:04:33,34,Male,Single,Addis Ababa,Bachelor,108,Nurse/Midwife,10,FALSE,TRUE,TRUE,TRUE,FALSE,Not Sure,TRUE,TRUE,Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Never,Never,Never,Never,Never
2024-04-01 09:11:24,98,Male,Divorced,Other/Invalid,PhD,6257823,Public Health,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Never,Never,Never,Never
2024-04-01 09:12:42,28,Female,Single,Other/Invalid,Bachelor,100000,Nurse/Midwife,6,Not Sure,TRUE,Not Sure,TRUE,Not Sure,Not Sure,Not Sure,TRUE,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Never,Always,Never,Always,Always
2024-04-01 09:23:47,40,Male,Married,Amhara,Bachelor,9455,Nurse/Midwife,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,Always
2024-04-01 09:32:06,34,Male,Married,Addis Ababa,Bachelor,140,Nurse/Midwife,9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Strongly Agree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Never,Always,Always,Always,Always
2024-04-01 09:47:20,30,Male,Married,Central Ethiopia,Masters/Postgrad,12567,Nurse/Midwife,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Never,Never,Always,Always,Always
2024-04-01 10:10:48,27,Male,Single,Addis Ababa,Bachelor,7071,Nurse/Midwife,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Never,Never,Never,Never,Never
2024-04-01 10:13:14,36,Male,Married,Amhara,Bachelor,8017,Nurse/Midwife,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Never,Never,Never,Always,Always
2024-04-01 10:23:27,27,Female,Married,Other/Invalid,Bachelor,7071,Nurse/Midwife,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Never,Always,Never,Always
2024-04-01 11:07:54,24,Female,Single,Addis Ababa,Bachelor,7000,Nurse/Midwife,3,TRUE,FALSE,Not Sure,FALSE,TRUE,Not Sure,TRUE,TRUE,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Never,Never,Always,Always,Always
2024-04-01 11:28:49,34,Female,Single,Addis Ababa,Masters/Postgrad,160000,Public Health,7,TRUE,TRUE,Not Sure,Not Sure,Not Sure,TRUE,TRUE,TRUE,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Always,Always,Always,Never,Always
2024-04-01 11:41:04,30,Male,Married,Oromia,Bachelor,7000,Nurse/Midwife,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Always,Always,Always,Always,Always
2024-04-01 12:05:11,35,Male,Married,Addis Ababa,PhD,55000,Medical Doctor,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Always,Always,Always,Always
2024-04-01 12:28:29,29,Female,Single,Addis Ababa,Masters/Postgrad,530,Pharmacist,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-01 14:42:49,1984,Female,Married,Addis Ababa,Bachelor,9056,Nurse/Midwife,16,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,FALSE,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,Always
2024-04-01 14:58:12,30,Male,Married,Addis Ababa,Masters/Postgrad,10000,Nurse/Midwife,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Always,Always,Always,Always
2024-04-01 15:13:20,170,Male,Divorced,Other/Invalid,PhD,100009999,Medical Doctor,100,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Never,Never,Never,Never,Never
2024-04-01 15:20:40,29,Female,Single,Addis Ababa,Masters/Postgrad,10150,Public Health,10,TRUE,Not Sure,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Always,Always,Always,Always,Always
2024-04-01 20:14:47,29,Male,Single,Addis Ababa,Bachelor,650,Nurse/Midwife,6,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-01 23:49:38,27,Male,Single,Central Ethiopia,Bachelor,4751,Nurse/Midwife,2,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,TRUE,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Never,Never,Always,Never,Never
2024-04-02 03:21:05,39,Male,Divorced,Addis Ababa,Masters/Postgrad,200,Public Health,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Never
2024-04-02 09:01:49,29,Female,Single,Other/Invalid,Masters/Postgrad,8017,Nurse/Midwife,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Never,Always,Never,Always,Always
